,Accuracy,Precision,Recall,F1-score,ROC-AUC
RF - svi atributi (13),0.8547386524169277,0.7252814116215394,0.6198647945917837,0.6684424505818028,0.9021992781601091
RF - top 6 atributa,0.8415944966525398,0.6890480453595942,0.6003640145605824,0.641656245657913,0.8878911577854349
