,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,0.8252564338799828,0.7053754616331556,0.4469578783151326,0.5471908324049021,0.8515539568104638
Random Forest,0.8547386524169277,0.7252814116215394,0.6198647945917837,0.6684424505818028,0.9021992781601091
